,SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionFactor,Startingfraction,Error
0,1,2,0,43,0.0,1.0,10,0.9,0.021733762
1,1,2,0,58,0.0,1.0,100,0.9,0.016391166
2,1,2,47,0,1.0,0.0,1000,0.9,0.019995835
3,1,2,34,0,1.0,0.0,10000,0.9,0.027016598
4,1,2,24,0,1.0,0.0,100000,0.9,0.037009633
5,1,2,7,0,1.0,0.0,1000000,0.9,0.099380799
6,1,2,0,31,0.0,1.0,10,0.1,0.029398258
7,1,2,2,41,0.046511628,0.953488372,100,0.1,0.036778486
8,1,2,21,55,0.276315789,0.723684211,1000,0.1,0.05062875
9,1,2,48,10,0.827586207,0.172413793,10000,0.1,0.049542534
10,1,2,31,0,1.0,0.0,100000,0.1,0.029398258
11,1,2,15,0,1.0,0.0,1000000,0.1,0.055459355
12,1,2,0,139,0.0,1.0,10,0.1,0.0070421
13,1,2,0,84,0.0,1.0,10,0.9,0.011493
14,1,2,3,61,0.046875,0.95312,100,0.1,0.02915
15,1,2,1,131,0.0075758,0.99242,100,0.9,0.010436
16,1,2,11,44,0.2,0.8,1000,0.1,0.053531
17,1,2,44,0,1.0,0.0,1000,0.9,0.021272
18,1,2,28,60,0.31818,0.68182,10000,0.1,0.048989
19,1,2,38,0,1.0,0.0,10000,0.9,0.024383
20,1,2,22,2,0.91667,0.083333,100000,0.1,0.061485
21,1,2,26,0,1.0,0.0,100000,0.9,0.034461
22,1,2,7,0,1.0,0.0,1000000,0.1,0.099381
23,1,2,4,0,1.0,0.0,1000000,0.9,0.14086
24,1,2,0,130,0.0,1.0,10,0.9,0.007518581
25,1,2,1,114,0.008695652,0.991304348,10,0.5,0.011932654
26,1,2,0,92,0.0,1.0,10,0.1,0.01052572
27,1,2,9,3,0.75,0.25,100,0.9,0.116642369
28,1,2,0,47,0.0,1.0,100,0.5,0.019995835
29,1,2,25,27,0.480769231,0.519230769,100,0.1,0.067373729
30,1,2,12,40,0.230769231,0.769230769,1000,0.9,0.057648565
31,1,2,1,38,0.025641026,0.974358974,1000,0.5,0.0332383
32,1,2,1,50,0.019607843,0.980392157,1000,0.1,0.025931482
33,1,2,43,0,1.0,0.0,10000,0.9,0.021733762
34,1,2,16,29,0.355555556,0.644444444,10000,0.5,0.069353217
35,1,2,2,77,0.025316456,0.974683544,10000,0.1,0.020855278
36,1,2,14,0,1.0,0.0,100000,0.9,0.058708527
37,1,2,31,0,1.0,0.0,100000,0.5,0.029398258
38,1,2,34,0,1.0,0.0,100000,0.1,0.027016598
39,1,2,19,0,1.0,0.0,300000,0.9,0.04540298
